Algorithm,Time (seconds),Cost,Path,Cost length?,Start Point,Goal Point
a_star,0.0017745420,22.242640687119287,22,112,"(32, 28)","(33, 9)"
dijkstra,0.0105668330,22.242640687119287,22,600,"(32, 28)","(33, 9)"
theta_star,0.0025212090,21.70820393249937,5,115,"(32, 28)","(33, 9)"
jps,0.0030627080,21.65685424949238,7,12,"(32, 28)","(33, 9)"
lazy_theta_star,0.0025126250,21.70820393249937,4,115,"(32, 28)","(33, 9)"
a_star,0.0023880420,30.72792206135786,28,154,"(10, 19)","(36, 9)"
dijkstra,0.0165342080,30.72792206135786,28,979,"(10, 19)","(36, 9)"
theta_star,0.0019766250,28.662288223758548,4,85,"(10, 19)","(36, 9)"
jps,0.0030532080,30.142135623730955,10,18,"(10, 19)","(36, 9)"
lazy_theta_star,0.0018783340,28.58960142608887,4,81,"(10, 19)","(36, 9)"
a_star,0.0026600840,24.72792206135786,22,147,"(18, 14)","(35, 27)"
dijkstra,0.0185675830,24.727922061357862,22,1049,"(18, 14)","(35, 27)"
theta_star,0.0019543340,22.595384783764366,4,83,"(18, 14)","(35, 27)"
jps,0.0035019590,23.556349186104047,10,20,"(18, 14)","(35, 27)"
lazy_theta_star,0.0021314170,22.744229586393796,5,88,"(18, 14)","(35, 27)"
a_star,0.0007801660,17.656854249492383,17,52,"(49, 20)","(45, 4)"
dijkstra,0.0045792500,17.656854249492383,17,300,"(49, 20)","(45, 4)"
theta_star,0.0005505410,16.492422502470642,2,19,"(49, 20)","(45, 4)"
jps,0.0003642080,17.65685424949238,3,3,"(49, 20)","(45, 4)"
lazy_theta_star,0.0004198750,16.492422502470642,2,19,"(49, 20)","(45, 4)"
a_star,0.0041085000,35.14213562373095,32,252,"(33, 6)","(2, 6)"
dijkstra,0.0196183330,35.14213562373095,32,1206,"(33, 6)","(2, 6)"
theta_star,0.0095757910,33.41371356788452,4,233,"(33, 6)","(2, 6)"
jps,0.0030002500,35.14213562373095,8,8,"(33, 6)","(2, 6)"
lazy_theta_star,0.0068112920,33.41371356788452,4,237,"(33, 6)","(2, 6)"
